,id,from,to,date,upcoming,season,marketValue,fee
3,324795,1080,618,"Jun 30, 2019",False,18/19,€300k,End of loan
4,324795,618,1080,"Jan 29, 2019",False,18/19,€150k,loan transfer
5,324795,8515,618,"Jul 1, 2018",False,18/19,,
6,324795,12745,8515,"Jan 1, 2016",False,15/16,,
0,474662,16674,3911,"Jul 1, 2018",False,18/19,,
1,474662,595,16674,"Aug 22, 2017",False,17/18,,free transfer
2,474662,9652,595,"Jul 1, 2017",False,17/18,,
3,474662,10858,9652,"Jan 1, 2016",False,15/16,,
0,684062,1162,3911,"Jun 30, 2024",True,23/24,€800k,End of loan
1,684062,3911,1162,"Sep 1, 2023",False,23/24,€1.20m,loan transfer
2,684062,1162,3911,"Jun 30, 2023",False,22/23,€1.20m,End of loan
3,684062,3911,1162,"Aug 31, 2022",False,22/23,€1.50m,loan transfer
4,684062,16674,3911,"Jul 1, 2019",False,19/20,,
0,659518,520,162,"Jun 30, 2024",True,23/24,€3.00m,End of loan
1,659518,162,520,"Sep 1, 2023",False,23/24,€1.00m,loan transfer
2,659518,3911,162,"Jun 30, 2023",False,22/23,€1.00m,End of loan
3,659518,162,3911,"Jan 31, 2023",False,22/23,€500k,loan transfer
4,659518,9668,162,"Jul 1, 2022",False,22/23,€600k,
5,659518,9669,9668,"Jul 1, 2021",False,21/22,,
6,659518,45617,9669,"Jul 1, 2020",False,20/21,,
7,659518,62344,45617,"Nov 18, 2019",False,19/20,,free transfer
0,924800,21688,3911,"Jun 30, 2023",False,22/23,€400k,End of loan
1,924800,3911,21688,"Jan 31, 2023",False,22/23,€150k,loan transfer
2,924800,16674,3911,"Jul 1, 2022",False,22/23,€100k,
3,924800,12773,16674,"Jul 1, 2021",False,21/22,,
0,466602,1181,3911,"Jun 30, 2024",True,23/24,€600k,End of loan
1,466602,3911,1181,"Aug 30, 2023",False,23/24,€500k,loan transfer
2,466602,371,3911,"Jul 5, 2022",False,22/23,€250k,free transfer
3,466602,9043,371,"Jul 1, 2021",False,21/22,€250k,
4,466602,67280,9043,"Jul 1, 2019",False,19/20,€50k,
5,466602,87553,67280,"Jul 1, 2018",False,18/19,,
0,737781,1777,3911,"Jul 1, 2020",False,20/21,,free transfer
1,737781,12604,1777,"Jul 1, 2017",False,17/18,,
0,424072,1420,3911,"Jul 1, 2022",False,22/23,€2.50m,free transfer
1,424072,3524,1420,"Jul 30, 2019",False,19/20,€1.50m,€1.50m
2,424072,16654,3524,"Jul 1, 2016",False,16/17,,
0,175014,1147,8850,"Aug 9, 2023",False,23/24,€1.50m,free transfer
1,175014,515,1147,"Oct 12, 2022",False,22/23,€1.80m,
2,175014,3911,515,"Sep 29, 2022",False,22/23,€2.00m,
3,175014,965,3911,"Jan 31, 2022",False,21/22,€1.50m,free transfer
4,175014,515,965,"Nov 7, 2020",False,20/21,€1.60m,
5,175014,18487,515,"Oct 5, 2020",False,20/21,€1.60m,
6,175014,3342,18487,"Aug 29, 2019",False,19/20,€1.50m,€3.00m
7,175014,1420,3342,"Jan 26, 2018",False,17/18,€400k,free transfer
8,175014,2077,1420,"Sep 11, 2017",False,17/18,,
9,175014,6772,2077,"Oct 10, 2015",False,15/16,€1.00m,
10,175014,3342,6772,"Jul 1, 2014",False,14/15,€1.00m,free transfer
11,175014,8851,3342,"Jul 1, 2012",False,12/13,,free transfer
12,175014,31473,8851,"Jul 18, 2010",False,10/11,,free transfer
0,229006,3911,18,"Jul 11, 2023",False,23/24,€10.00m,€8.00m
1,229006,618,3911,"Jul 1, 2020",False,20/21,€1.60m,€5.00m
2,229006,3524,618,"Jun 30, 2019",False,18/19,€2.00m,End of loan
3,229006,618,3524,"Aug 29, 2018",False,18/19,€800k,loan transfer
4,229006,3524,618,"Aug 28, 2018",False,18/19,€800k,€2.00m
5,229006,417,3524,"Jul 13, 2017",False,17/18,€400k,free transfer
6,229006,750,417,"Jun 30, 2017",False,16/17,€400k,End of loan
7,229006,417,750,"Jul 1, 2016",False,16/17,€150k,loan transfer
8,229006,8158,417,"Nov 1, 2013",False,13/14,,
9,229006,12763,8158,"Jul 1, 2012",False,12/13,,
0,353399,273,3911,"Aug 31, 2021",False,21/22,€4.50m,€1.50m
1,353399,1041,273,"Jul 1, 2018",False,18/19,€1.50m,€2.00m
2,353399,1160,1041,"Jun 30, 2018",False,17/18,€1.50m,End of loan
3,353399,1041,1160,"Aug 30, 2017",False,17/18,€800k,loan transfer
4,353399,2972,1041,"Jun 30, 2017",False,16/17,€800k,End of loan
5,353399,1041,2972,"Jul 2, 2016",False,16/17,€150k,loan transfer
6,353399,12764,1041,"Jul 1, 2016",False,16/17,€150k,
7,353399,7813,12764,"Jul 1, 2015",False,15/16,,
0,281319,3911,40,"Jun 30, 2023",False,22/23,€2.50m,End of loan
1,281319,40,3911,"Jan 30, 2023",False,22/23,€4.00m,loan transfer
2,281319,2503,40,"Jul 1, 2022",False,22/23,€6.50m,€6.00m
3,281319,40,2503,"Jun 30, 2022",False,21/22,€6.50m,End of loan
4,281319,2503,40,"Aug 24, 2021",False,21/22,€4.00m,loan transfer
5,281319,9168,2503,"Sep 21, 2020",False,20/21,€3.50m,€1.00m
6,281319,2407,9168,"Jan 1, 2018",False,17/18,€825k,€2.20m
7,281319,9168,2407,"Dec 31, 2017",False,17/18,€825k,End of loan
8,281319,2407,9168,"Jan 1, 2017",False,16/17,€300k,loan transfer
9,281319,2720,2407,"Aug 25, 2016",False,16/17,,?
10,281319,55554,2720,"Jul 1, 2013",False,13/14,,
0,238639,1110,3911,"Sep 9, 2020",False,20/21,€6.50m,€5.00m
