,id,name,position,dateOfBirth,age,nationality,currentClub,height,foot,joinedOn,signedFrom,marketValue,status,joined,contract
368,917104,Derek Mazou-Sacko,Central Midfield,"Oct 6, 2004",18,France,AS Nancy-Lorraine,"1,75m",right,"Jul 1, 2023",ESTAC Troyes B,€250k,,,
369,929612,Danel Dongmo,Central Midfield,"Jan 31, 2001",22,Cameroon,ESTAC Troyes B,"1,82m",left,"Jan 30, 2023",,€100k,,,
370,326300,Jeff Reine-Adélaïde,Attacking Midfield,"Jan 17, 1998",25,France,RWD Molenbeek,"1,84m",right,"Jul 15, 2022",Olympique Lyon,€5.00m,,,
371,857155,Ryan Fage,Attacking Midfield,"Oct 31, 2003",19,France,US Avranches,"1,69m",,"Jan 28, 2023",,€50k,,,
372,743498,Wilson Odobert,Left Winger,"Nov 28, 2004",18,France,Burnley FC,"1,82m",right,"Aug 30, 2022",Paris Saint-Germain U19,€6.00m,,,
373,750886,Alexis Tibidi,Left Winger,"Nov 3, 2003",19,France,Manchester City U21,"1,87m",right,"Aug 25, 2022",VfB Stuttgart,€2.00m,,,
374,931841,Amar Fatah,Left Winger,"Feb 19, 2004",19,Sweden,Lommel SK,"1,80m",right,"Sep 1, 2022",AIK,€1.20m,,,
375,568702,Papa Ndiaga Yade,Left Winger,"Jan 5, 2000",23,Mauritania,Quevilly - Rouen Métropole,"1,85m",left,"Jul 28, 2020",FC Metz,€1.20m,,,
376,345654,Marlos Moreno,Left Winger,"Sep 20, 1996",26,Colombia,Konyaspor,"1,73m",right,"Aug 24, 2022",Manchester City,€950k,,"Returned after loan spell with Konyaspor; date: Jun 30, 2023; fee: End of loan",
377,537182,Levi Lumeka,Left Winger,"Sep 5, 1998",24,England,Oxford City,"1,70m",right,"Jul 15, 2021",Varzim SC,€200k,,,
378,174694,Rony Lopes,Right Winger,"Dec 28, 1995",27,Portugal,SC Braga,"1,74m",left,"Jul 1, 2023",Sevilla FC,€4.00m,,,
379,234802,Renaud Ripart,Right Winger,"Mar 14, 1993",30,France,ESTAC Troyes,"1,81m",right,"Jul 1, 2023",Nîmes Olympique,€2.50m,,,
380,982863,Kyliane Dong,Right Winger,"Sep 27, 2004",18,France,ESTAC Troyes,"1,78m",,"Jul 31, 2021",ESTAC Troyes B,€500k,,"Internal transfer: ESTAC Troyes B; date: Jul 1, 2023",
381,857154,Alexis Lefebvre,Right Winger,"May 21, 2003",20,France,AS Nancy-Lorraine,"1,66m",right,"Aug 4, 2022",ESTAC Troyes B,€250k,,,
382,325223,Mama Baldé,Centre-Forward,"Nov 6, 1995",27,Guinea-Bissau,Olympique Lyon,"1,76m",right,"Jul 16, 2021",Dijon FCO,€8.00m,,,
383,339943,Iké Ugbo,Centre-Forward,"Sep 21, 1998",24,Canada,Sheffield Wednesday,"1,84m",right,"Jul 1, 2018",KRC Genk,€3.00m,,,
384,60561,Anthony Lopes,Goalkeeper,"Oct 1, 1990",32,Portugal,Olympique Lyon,"1,84m",left,"Jul 1, 2011",Olympique Lyon B,€8.00m,,,
385,18940,Rémy Riou,Goalkeeper,"Aug 6, 1987",35,France,Paris FC,"1,91m",right,"Jul 1, 2022",SM Caen,€400k,,,
386,618465,Kayne Bonnevie,Goalkeeper,"Jul 22, 2001",21,France,Quevilly - Rouen Métropole,"1,91m",left,"Jul 1, 2022",Olympique Lyon B,€200k,,,
387,618472,Castello Lukeba,Centre-Back,"Dec 17, 2002",20,France,RB Leipzig,"1,84m",left,"Jul 1, 2021",Olympique Lyon B,€25.00m,,,
388,702441,Sinaly Diomandé,Centre-Back,"Apr 9, 2001",22,Cote d'Ivoire,Olympique Lyon,"1,84m",right,"Jul 1, 2020",Olympique Lyon B,€9.00m,,,
389,37838,Dejan Lovren,Centre-Back,"Jul 5, 1989",33,Croatia,Olympique Lyon,"1,88m",right,"Jan 2, 2023",: Ablöse €2.00m,€2.50m,,,
390,910905,Mamadou Sarr,Centre-Back,"Aug 29, 2005",17,France,RWD Molenbeek,"1,94m",right,"Jul 1, 2023",Olympique Lyon B,€1.00m,,,
391,26485,Jérôme Boateng,Centre-Back,"Sep 3, 1988",34,Germany,US Salernitana 1919,"1,92m",right,"Sep 1, 2021",Bayern Munich,€800k,,,
392,57370,Damien Da Silva,Centre-Back,"May 17, 1988",35,France,Melbourne Victory,"1,84m",right,"Jul 1, 2021",Stade Rennais FC,€500k,,,
393,131225,Nicolás Tagliafico,Left-Back,"Aug 31, 1992",30,Argentina,Olympique Lyon,"1,72m",left,"Jul 23, 2022",Ajax Amsterdam,€9.00m,,,
394,204072,Henrique Silva,Left-Back,"Apr 25, 1994",29,Brazil,Olympique Lyon,"1,73m",left,"Jul 1, 2021",Clube de Regatas Vasco da Gama,€1.00m,,,
395,902862,Achraf Laâziri,Left-Back,"Jul 8, 2003",19,Morocco,USL Dunkerque,"1,77m",left,"Jul 1, 2023",Olympique Lyon B,€250k,,,
396,620322,Malo Gusto,Right-Back,"May 19, 2003",20,France,Chelsea FC,"1,78m",right,"Jan 30, 2023",Chelsea FC,€25.00m,,,
397,951579,Saël Kumbedi,Right-Back,"Mar 26, 2005",18,France,Olympique Lyon,"1,75m",right,"Aug 31, 2022",Le Havre AC,€12.00m,,,
398,585973,Johann Lepenant,Defensive Midfield,"Oct 22, 2002",20,France,Olympique Lyon,"1,76m",right,"Jul 1, 2022",SM Caen,€10.00m,,,
399,135617,Thiago Mendes,Defensive Midfield,"Mar 15, 1992",31,Brazil,Al-Rayyan SC,"1,77m",right,"Jul 3, 2019",LOSC Lille,€5.00m,,,
400,395237,Maxence Caqueret,Central Midfield,"Feb 15, 2000",23,France,Olympique Lyon,"1,74m",right,"Dec 14, 2018",Olympique Lyon B,€25.00m,,,
401,190393,Corentin Tolisso,Central Midfield,"Aug 3, 1994",28,France,Olympique Lyon,"1,81m",right,"Jul 1, 2022",Bayern Munich,€14.00m,,,
402,395693,Houssem Aouar,Central Midfield,"Jun 30, 1998",25,Algeria,AS Roma,"1,75m",right,"Jul 1, 2017",Olympique Lyon B,€13.00m,,,
403,743533,Mohamed El Arouch,Central Midfield,"Apr 6, 2004",19,France,Olympique Lyon,"1,66m",right,"Jul 1, 2022",Olympique Lyon B,€2.00m,,,
404,555076,Romain Faivre,Right Midfield,"Jul 14, 1998",24,France,AFC Bournemouth,"1,80m",left,"Jan 31, 2022",Stade Brestois 29,€10.00m,,"Returned after loan spell with FC Lorient; date: Jun 30, 2023; fee: End of loan",
405,444523,Lucas Paquetá,Attacking Midfield,"Aug 27, 1997",25,Brazil,West Ham United,"1,80m",left,"Sep 30, 2020",AC Milan,€45.00m,,,
406,607223,Rayan Cherki,Attacking Midfield,"Aug 17, 2003",19,France,Olympique Lyon,"1,77m",both,"Jan 1, 2020",Olympique Lyon B,€30.00m,,,
407,326300,Jeff Reine-Adélaïde,Attacking Midfield,"Jan 17, 1998",25,France,RWD Molenbeek,"1,84m",right,"Aug 14, 2019",: Ablöse €25.00m,€5.00m,,"Returned after loan spell with ESTAC Troyes; date: Jun 30, 2023; fee: End of loan",
408,538969,Djibrail Dib,Attacking Midfield,"Jul 3, 2002",20,Algeria,Olympique Lyon B,"1,75m",left,"Jan 7, 2022",,€150k,,,
409,708265,Bradley Barcola,Left Winger,"Sep 2, 2002",20,France,Paris Saint-Germain,"1,82m",right,"Jan 31, 2023",Olympique Lyon B,€18.00m,unknown injury - Return unknown,,
410,884072,Jeffinho,Left Winger,"Dec 30, 1999",23,Brazil,Botafogo de Futebol e Regatas,"1,76m",right,"Mar 31, 2022",Botafogo de Futebol e Regatas,€8.00m,,,
411,371256,Tetê,Right Winger,"Feb 15, 2000",23,Brazil,Galatasaray,"1,75m",left,"Jul 1, 2022",Shakhtar Donetsk,€25.00m,,"Returned after loan spell with Leicester City; date: Jun 29, 2023; fee: End of loan",
412,93720,Alexandre Lacazette,Centre-Forward,"May 28, 1991",32,France,Olympique Lyon,"1,75m",right,"Aug 31, 2018",Arsenal FC,€14.00m,Team captain,,
413,229004,Moussa Dembélé,Centre-Forward,"Jul 12, 1996",26,France,Al-Ettifaq FC,"1,87m",right,"Jul 1, 2020",Celtic FC,€12.00m,,,
