,id,from,to,date,upcoming,season,marketValue,fee
0,485585,16,631,"Jun 30, 2024",True,23/24,€30.00m,End of loan
1,485585,631,16,"Jan 12, 2024",False,23/24,€20.00m,loan transfer
2,485585,9250,631,"Jul 1, 2023",False,23/24,€12.00m,
3,485585,1132,9250,"May 31, 2023",False,22/23,€9.00m,End of loan
4,485585,9250,1132,"Jul 15, 2022",False,22/23,€5.00m,loan transfer
5,485585,990,9250,"May 31, 2022",False,21/22,€5.00m,End of loan
6,485585,9250,990,"Jul 30, 2021",False,21/22,,loan transfer
7,485585,358,9250,"May 31, 2021",False,20/21,,End of loan
8,485585,9250,358,"Oct 13, 2020",False,20/21,,loan transfer
9,485585,6918,9250,"Jul 1, 2019",False,19/20,,
10,485585,32801,6918,"Jul 1, 2018",False,18/19,,€110k
11,485585,32804,32801,"Jul 1, 2015",False,15/16,,€26k
12,485585,32798,32804,"Jul 1, 2013",False,13/14,,free transfer
0,284732,18,16,"Jul 1, 2023",False,23/24,€20.00m,free transfer
1,284732,273,18,"Aug 14, 2019",False,19/20,€8.00m,€8.00m
2,284732,30929,273,"Jul 5, 2016",False,16/17,€2.00m,€2.00m
3,284732,969,30929,"Jun 30, 2016",False,15/16,€2.00m,End of loan
4,284732,30929,969,"Jul 1, 2015",False,15/16,€1.00m,loan transfer
5,284732,204,30929,"Jun 30, 2015",False,14/15,€1.00m,End of loan
6,284732,30929,204,"Jul 1, 2014",False,14/15,,loan transfer
7,284732,48978,30929,"Jul 1, 2013",False,13/14,,
0,370789,89,16,"Jan 17, 2023",False,22/23,€7.50m,€5.00m
1,370789,239,89,"Jul 31, 2018",False,18/19,€400k,€150k
2,370789,15701,239,"Jul 24, 2015",False,15/16,,
3,370789,101900,15701,"Jun 27, 2013",False,12/13,,?
0,193900,3,16,"Jun 30, 2021",False,20/21,€4.00m,End of loan
1,193900,16,3,"Oct 2, 2020",False,20/21,€6.50m,loan transfer
2,193900,44,16,"Jun 30, 2020",False,19/20,€6.50m,End of loan
3,193900,16,44,"Sep 2, 2019",False,19/20,€8.00m,"Loan fee:<br /><i class=""normaler-text"">€2.00m</i>"
4,193900,24,16,"Jul 2, 2018",False,18/19,€10.00m,€5.00m
5,193900,42,24,"Jul 1, 2018",False,18/19,€10.00m,€500k
6,193900,24,42,"Jun 30, 2018",False,17/18,€10.00m,End of loan
7,193900,42,24,"Jan 31, 2017",False,16/17,€350k,"Loan fee:<br /><i class=""normaler-text"">€500k</i>"
8,193900,72,42,"Jan 8, 2016",False,15/16,€800k,€1.50m
9,193900,73,72,"Oct 26, 2014",False,14/15,€100k,
10,193900,2510,73,"Jul 1, 2014",False,14/15,€50k,
11,193900,21049,2510,"Jul 1, 2012",False,12/13,,free transfer
12,193900,20462,21049,"Jul 1, 2011",False,11/12,,
13,193900,59166,20462,"Jul 1, 2007",False,07/08,,free transfer
14,193900,96358,59166,"Jul 1, 2006",False,06/07,,free transfer
15,193900,96353,96358,"Jan 1, 2002",False,01/02,,free transfer
0,388513,2470,16,"Jul 1, 2019",False,19/20,€300k,free transfer
1,388513,39813,2470,"Jul 1, 2017",False,17/18,,
2,388513,25625,39813,"Jul 1, 2015",False,15/16,,?
0,244940,3,16,"Jul 1, 2022",False,22/23,€13.00m,€5.00m
1,244940,269,3,"Jun 30, 2020",False,19/20,€2.70m,End of loan
2,244940,3,269,"Aug 23, 2019",False,19/20,€2.00m,loan transfer
3,244940,438,3,"Jul 1, 2016",False,16/17,,
4,244940,1461,438,"Jan 1, 2016",False,15/16,,
5,244940,21048,1461,"Jul 1, 2015",False,15/16,,
6,244940,11880,21048,"Jul 1, 2013",False,13/14,,
7,244940,38050,11880,"Jul 1, 2007",False,07/08,,free transfer
0,119296,506,16,"Jul 1, 2020",False,20/21,€24.00m,€25.00m
1,119296,16,506,"Jun 30, 2020",False,19/20,€24.00m,End of loan
2,119296,506,16,"Jan 31, 2020",False,19/20,€30.00m,"Loan fee:<br /><i class=""normaler-text"">€1.00m</i>"
3,119296,31,506,"Jul 1, 2018",False,18/19,€30.00m,free transfer
4,119296,15,31,"Jul 1, 2014",False,14/15,€7.50m,€12.00m
5,119296,27,15,"Aug 2, 2013",False,13/14,€1.50m,€5.00m
6,119296,28,27,"Jul 1, 2012",False,12/13,€600k,
7,119296,1462,28,"Jul 1, 2011",False,11/12,,
8,119296,21058,1462,"Jul 1, 2010",False,10/11,,
9,119296,12016,21058,"Jul 1, 2009",False,09/10,,free transfer
10,119296,83803,12016,"Jul 1, 2006",False,06/07,,free transfer
0,718232,6326,17,"Jul 20, 2021",False,21/22,,free transfer
1,718232,54295,6326,"Jul 1, 2019",False,19/20,,
