,id,name,position,dateOfBirth,age,nationality,currentClub,height,foot,joinedOn,signedFrom,marketValue,status,joined,contract
44,821052,Lorenzo Gagliardi,Centre-Back,"Apr 14, 2004",19,Italy,US Città di Pontedera,,right,"Jan 31, 2023",,€50k,,,
45,309393,Lennart Czyborra,Left-Back,"May 3, 1999",24,Germany,PEC Zwolle,"1,81m",left,"Jul 11, 2022",Atalanta BC,€1.40m,,,
46,228444,Ridgeciano Haps,Left-Back,"Jun 12, 1993",30,Suriname,Genoa CFC,"1,75m",left,"Jan 3, 2023",Venezia FC,€1.00m,,"On loan from Venezia FC until Jun 30, 2024",
47,190634,Marko Pajac,Left-Back,"May 11, 1993",30,Croatia,AC Reggiana 1919,"1,85m",left,"Jul 1, 2023",Brescia Calcio,€650k,,,
48,44136,Domenico Criscito,Left-Back,"Dec 30, 1986",36,Italy,Retired,"1,83m",left,"Jan 3, 2022",Toronto FC,€250k,,,
49,655186,Brayan Boci,Left-Back,"Jul 24, 2003",19,Albania,FC Legnago Salus,"1,83m",left,"Jul 20, 2021",Genoa U19,€150k,,,
50,237666,Silvan Hefti,Right-Back,"Oct 25, 1997",25,Switzerland,Montpellier HSC,"1,83m",right,"Aug 31, 2021",BSC Young Boys,€3.40m,,,
51,167491,Stefano Sabelli,Right-Back,"Jan 13, 1993",30,Italy,Genoa CFC,"1,76m",right,"Sep 16, 2020",FC Empoli,€1.20m,,,
52,392881,Antonio Candela,Right-Back,"Apr 27, 2000",23,Italy,Venezia FC,"1,85m",right,"Jul 1, 2022",,€1.00m,,,
53,181382,Abdoulaye Touré,Defensive Midfield,"Mar 3, 1994",29,Guinea,Le Havre AC,"1,88m",right,"Dec 1, 2022",FC Nantes,€1.30m,,,
54,40633,Milan Badelj,Defensive Midfield,"Feb 25, 1989",34,Croatia,Genoa CFC,"1,86m",right,"Jan 30, 2022",SS Lazio,€800k,Team captain,,
55,40074,Stefan Ilsanker,Defensive Midfield,"May 18, 1989",34,Austria,Retired,"1,89m",right,"Sep 2, 2021",Eintracht Frankfurt,€500k,,,
56,724106,Luca Lipani,Defensive Midfield,"May 18, 2005",18,Italy,US Sassuolo,"1,85m",right,"Jul 1, 2022",Genoa U19,€400k,,,
57,651006,Andrea Palella,Defensive Midfield,"Jun 27, 2004",19,Italy,Sorrento 1945,,,"Jul 1, 2019",,€50k,,,
58,503871,Morten Frendrup,Central Midfield,"Apr 7, 2001",22,Denmark,Genoa CFC,"1,78m",right,"Jan 31, 2019",Bröndby IF,€4.20m,,,
59,313830,Pablo Galdames,Central Midfield,"Dec 30, 1996",26,Chile,Clube de Regatas Vasco da Gama,"1,76m",right,"Jul 1, 2023",CA Vélez Sarsfield,€2.30m,,"Returned after loan spell with US Cremonese; date: Jun 30, 2023; fee: End of loan",
60,315862,Filippo Melegoni,Central Midfield,"Feb 18, 1999",24,Italy,AC Reggiana 1919,"1,86m",right,"Sep 1, 2020",Atalanta BC,€1.50m,,,
61,167859,Stefano Sturaro,Central Midfield,"Mar 9, 1993",30,Italy,Catania FC,"1,81m",right,"Jan 28, 2021",: Ablöse €16.50m,€1.50m,Muscle injury - Return unknown,,
62,242813,Filip Jagiello,Central Midfield,"Aug 8, 1997",25,Poland,Spezia Calcio,"1,80m",both,"Jul 1, 2023",Zaglebie Lubin,€1.40m,,,
63,68864,Kevin Strootman,Central Midfield,"Feb 13, 1990",33,Netherlands,Genoa CFC,"1,86m",left,"Jul 1, 2021",Olympique Marseille,€1.30m,,"Joined from Olympique Marseille; date: Jul 1, 2023; fee: free transfer",
64,301236,Francesco Cassata,Central Midfield,"Jul 16, 1997",25,Italy,Spezia Calcio,"1,83m",right,"Jan 31, 2022",: Ablöse €7.00m,€700k,,,
65,459665,Patrizio Masini,Central Midfield,"Jan 27, 2001",22,Italy,Ascoli Calcio,"1,82m",right,"Jan 8, 2022",,€300k,,,
66,616031,Michele Besaggio,Central Midfield,"Apr 28, 2002",21,Italy,Brescia Calcio,"1,81m",right,"Jan 31, 2023",,€300k,Yellow card suspension -  - cross-competition - 1 matchday,"Returned after loan spell with Juventus Next Gen; date: Jun 30, 2023; fee: End of loan",
67,394304,Manolo Portanova,Central Midfield,"Jun 2, 2000",23,Italy,AC Reggiana 1919,"1,83m",right,"Jul 1, 2023",Juventus FC,,,,
68,200188,Mattia Aramu,Attacking Midfield,"May 14, 1995",28,Italy,SSC Bari,"1,80m",left,"Jul 1, 2019",Venezia FC,€2.20m,,,
69,650999,Federico Accornero,Left Winger,"Feb 5, 2004",19,Italy,Delfino Pescara 1936,,right,"Jul 1, 2022",,€125k,,,
70,623040,Yayah Kallon,Right Winger,"Jun 30, 2001",22,Sierra Leone,SSC Bari,"1,75m",left,"Jan 26, 2023",: Ablöse -,€1.50m,Collateral ligament injury - Return unknown,"Returned after loan spell with Hellas Verona; date: Jun 30, 2023; fee: End of loan",
71,866250,Seydou Fini,Right Winger,"Jun 2, 2006",17,Italy,Standard Liège,"1,78m",left,"Aug 10, 2021",,,,,
72,305947,Albert Gudmundsson,Second Striker,"Jun 15, 1997",26,Iceland,Genoa CFC,"1,77m",right,"Jul 21, 2022",AZ Alkmaar,€4.50m,,,
73,44058,Wojciech Szczęsny,Goalkeeper,"Apr 18, 1990",33,Poland,Juventus FC,"1,96m",right,"Jul 19, 2017",Arsenal FC,€10.00m,,,
74,110923,Mattia Perin,Goalkeeper,"Nov 10, 1992",30,Italy,Juventus FC,"1,88m",right,"Jul 1, 2018",: Ablöse €16.30m,€4.00m,,,
75,504825,Gian Marco Crespi,Goalkeeper,"Jun 28, 2001",22,Italy,Spezia Calcio,"1,89m",right,"Jul 1, 2014",,€200k,,,
76,564792,Giovanni Garofani,Goalkeeper,"Oct 20, 2002",20,Italy,Juventus Next Gen,"1,88m",right,"Jul 20, 2022",,€200k,"surgery - Return expected on Jun 21, 2024",,
77,75411,Carlo Pinsoglio,Goalkeeper,"Mar 16, 1990",33,Italy,Juventus FC,"1,94m",left,"Aug 7, 2019",: Ablöse €800k,€200k,,,
78,650989,Simone Scaglia,Goalkeeper,"Jul 12, 2004",18,Italy,Juventus Next Gen,"1,96m",right,"Jan 31, 2022",,€25k,,,
79,516716,Bremer,Centre-Back,"Mar 18, 1997",26,Brazil,Juventus FC,"1,88m",right,"Feb 1, 2015",Torino FC,€40.00m,,,
80,145707,Danilo,Centre-Back,"Jul 15, 1991",31,Brazil,Juventus FC,"1,84m",right,"Aug 2, 2018",Manchester City,€15.00m,,,
81,509022,Federico Gatti,Centre-Back,"Jun 24, 1998",25,Italy,Juventus FC,"1,90m",right,"Aug 20, 2015",Frosinone Calcio,€12.00m,,,
82,162959,Daniele Rugani,Centre-Back,"Jul 29, 1994",28,Italy,Juventus FC,"1,90m",right,"Jul 20, 2017",: Ablöse €4.20m,€2.00m,,,
83,39983,Leonardo Bonucci,Centre-Back,"May 1, 1987",36,Italy,Fenerbahce,"1,89m",right,"Jul 1, 2023",AC Milan,€1.50m,,,
84,487835,Alessandro Pio Riccio,Centre-Back,"Feb 6, 2002",21,Italy,Modena FC,"1,87m",right,"Jan 31, 2022",,€700k,,,
85,79960,Alex Sandro,Left-Back,"Jan 26, 1991",32,Brazil,Juventus FC,"1,81m",left,"Jan 28, 2021",FC Porto,€3.00m,,,
86,88682,Mattia De Sciglio,Right-Back,"Oct 20, 1992",30,Italy,Juventus FC,"1,83m",right,"Aug 31, 2022",AC Milan,€3.00m,,,
87,569939,Tommaso Barbieri,Right-Back,"Aug 26, 2002",20,Italy,Pisa Sporting Club,"1,81m",right,"Apr 1, 2023",,€1.20m,"Yellow card suspension - until Apr 8, 2024 - Serie B - 1 matchday",,
88,265088,Manuel Locatelli,Defensive Midfield,"Jan 8, 1998",25,Italy,Juventus FC,"1,85m",right,"Jul 1, 2019",US Sassuolo,€30.00m,,"Joined from US Sassuolo; date: Jul 1, 2023; fee: €36.40m",
89,334526,Denis Zakaria,Defensive Midfield,"Nov 20, 1996",26,Switzerland,AS Monaco,"1,90m",right,"Jan 1, 2021",Borussia Mönchengladbach,€18.00m,,"Returned after loan spell with Chelsea FC; date: Jun 30, 2023; fee: End of loan",
90,525704,Nicolò Rovella,Defensive Midfield,"Dec 4, 2001",21,Italy,SS Lazio,"1,79m",right,"Jul 1, 2021",: Ablöse €26.00m,€18.00m,,"Returned after loan spell with AC Monza; date: Jun 30, 2023; fee: End of loan",
91,166237,Leandro Paredes,Defensive Midfield,"Jun 29, 1994",29,Argentina,AS Roma,"1,80m",right,"Jul 11, 2022",Paris Saint-Germain,€12.00m,,,
92,671915,Enzo Barrenechea,Defensive Midfield,"May 22, 2001",22,Argentina,Frosinone Calcio,"1,86m",right,"Jul 1, 2022",Juventus Next Gen,€900k,,,
93,182913,Adrien Rabiot,Central Midfield,"Apr 3, 1995",28,France,Juventus FC,"1,88m",left,"Jul 1, 2017",Paris Saint-Germain,€40.00m,,,
94,432090,Nicolò Fagioli,Central Midfield,"Feb 12, 2001",22,Italy,Juventus FC,"1,78m",right,"Aug 12, 2022",Juventus U23,€35.00m,"Suspension through sports court - until May 18, 2024 - cross-competition",,
95,332697,Weston McKennie,Central Midfield,"Aug 28, 1998",24,United States,Juventus FC,"1,85m",right,"Aug 30, 2021",FC Schalke 04,€18.00m,,"Returned after loan spell with Leeds United; date: Jun 30, 2023; fee: End of loan",
96,122153,Paul Pogba,Central Midfield,"Mar 15, 1993",30,France,Juventus FC,"1,91m",both,"Jul 1, 2022",Manchester United,€15.00m,"Doping ban - until Sep 10, 2027 - cross-competition",,
97,571607,Fabio Miretti,Central Midfield,"Aug 3, 2003",19,Italy,Juventus FC,"1,80m",right,"Dec 19, 2022",Juventus Next Gen,€15.00m,,,
98,657550,Alessandro Sersanti,Central Midfield,"Feb 16, 2002",21,Italy,Calcio Lecco 1912,"1,82m",right,"Jul 8, 2022",,€400k,,,
99,91970,Juan Cuadrado,Right Midfield,"May 26, 1988",35,Colombia,Inter Milan,"1,76m",right,"Jul 1, 2022",Chelsea FC,€4.00m,"Achilles tendon surgery - Return expected on Apr 9, 2024",,
100,161011,Filip Kostić,Left Midfield,"Nov 1, 1992",30,Serbia,Juventus FC,"1,84m",left,"Jan 28, 2022",Eintracht Frankfurt,€22.00m,,,
101,503638,Mohamed Ihattaren,Attacking Midfield,"Feb 12, 2002",21,Netherlands,Without Club,"1,83m",left,"Jul 1, 2023",PSV Eindhoven,,,,
102,341092,Federico Chiesa,Left Winger,"Oct 25, 1997",25,Italy,Juventus FC,"1,75m",right,"Jul 1, 2023",ACF Fiorentina,€40.00m,,,
103,581672,Samuel Iling-Junior,Left Winger,"Oct 4, 2003",19,England,Juventus FC,"1,82m",left,"Aug 17, 2021",Juventus Next Gen,€9.00m,,,
104,258482,Boris Radunović,Goalkeeper,"May 26, 1996",27,Serbia,Cagliari Calcio,"1,94m",right,"Jul 14, 2021",Atalanta BC,€1.50m,,,
105,535740,Giuseppe Ciocci,Goalkeeper,"Jan 24, 2002",21,Italy,US Città di Pontedera,"1,93m",right,"Jul 1, 2021",Cagliari Primavera,€250k,,,
106,740517,Eldin Lolic,Goalkeeper,"May 15, 2004",19,Bosnia-Herzegovina,FK Tuzla City,"1,94m",right,"Dec 1, 2022",Cagliari Primavera,€75k,,,
107,41912,Simone Aresti,Goalkeeper,"Mar 15, 1986",37,Italy,Cagliari Calcio,"1,87m",right,"Sep 1, 2020",Olbia Calcio 1905,€75k,,,
108,927933,Velizar-Iliya Iliev,Goalkeeper,"Jul 20, 2005",17,Bulgaria,Cagliari Primavera,"1,94m",right,"Jul 1, 2021",,,,,
109,568333,Adam Obert,Centre-Back,"Aug 23, 2002",20,Slovakia,Cagliari Calcio,"1,88m",left,"Aug 12, 2022",Sampdoria Primavera,€1.80m,,,
110,385394,Alberto Dossena,Centre-Back,"Oct 13, 1998",24,Italy,Cagliari Calcio,"1,95m",right,"Jul 18, 2021",US Avellino 1912,€1.70m,,,
111,354909,Giorgio Altare,Centre-Back,"Aug 9, 1998",24,Italy,Venezia FC,"1,90m",right,"Sep 1, 2022",: Ablöse €500k,€1.50m,,,
112,238947,Elio Capradossi,Centre-Back,"Mar 11, 1996",27,Italy,Calcio Lecco 1912,"1,85m",both,"Jan 12, 2022",: Ablöse free transfer,€750k,,,
113,242940,Edoardo Goldaniga,Centre-Back,"Nov 2, 1993",29,Italy,Como 1907,"1,93m",right,"Jan 12, 2023",US Sassuolo,€700k,,,
114,621153,Luigi Palomba,Centre-Back,"Apr 17, 2003",20,Italy,Olbia Calcio 1905,"1,86m",right,"Jul 11, 2022",,€200k,,,
