,id,from,to,date,upcoming,season,marketValue,fee
3,102423,4083,3709,"Jan 15, 2018",False,17/18,€600k,loan transfer
4,102423,142,4083,"Jul 14, 2017",False,17/18,€800k,free transfer
5,102423,6767,142,"Aug 12, 2014",False,14/15,,free transfer
6,102423,13,6767,"Sep 2, 2013",False,13/14,€1.50m,free transfer
7,102423,7971,13,"Jun 30, 2013",False,12/13,€1.50m,End of loan
8,102423,13,7971,"Aug 2, 2012",False,12/13,€1.00m,loan transfer
9,102423,2296,13,"Jun 30, 2012",False,11/12,€600k,End of loan
10,102423,13,2296,"Aug 31, 2011",False,11/12,€600k,loan transfer
11,102423,2867,13,"Jun 30, 2011",False,10/11,€800k,End of loan
12,102423,13,2867,"Aug 14, 2010",False,10/11,€1.00m,loan transfer
13,102423,2619,13,"Jul 16, 2009",False,09/10,,€1.50m
14,102423,16541,2619,"Jul 1, 2008",False,08/09,,
0,357884,366,714,"Aug 9, 2019",False,19/20,€10.00m,€8.00m
1,357884,7078,366,"Aug 8, 2017",False,17/18,€300k,
2,357884,5649,7078,"Jul 1, 2016",False,16/17,,free transfer
3,357884,12318,5649,"Jul 1, 2013",False,13/14,,
0,92947,368,714,"Jul 28, 2021",False,21/22,€3.00m,€1.00m
1,92947,940,368,"Jul 25, 2018",False,18/19,€5.00m,€5.50m
2,92947,2464,940,"Jul 1, 2014",False,14/15,€1.00m,€100k
3,92947,2470,2464,"Jan 1, 2010",False,09/10,,
4,92947,39813,2470,"Jul 1, 2009",False,09/10,,
5,92947,14321,39813,"Jul 1, 2008",False,08/09,,
6,92947,12896,14321,"Jul 1, 2006",False,06/07,,free transfer
0,945496,714,1230,"Aug 10, 2023",False,23/24,€500k,€4.30m
1,945496,10773,714,"Jul 1, 2022",False,22/23,€200k,
2,945496,9478,10773,"Dec 1, 2021",False,21/22,,
3,945496,14737,9478,"Jul 1, 2021",False,21/22,,
0,166677,237,714,"Jul 1, 2022",False,22/23,€2.50m,free transfer
1,166677,2687,237,"Sep 9, 2020",False,20/21,€400k,free transfer
2,166677,12321,2687,"Aug 24, 2020",False,19/20,€400k,End of loan
3,166677,2687,12321,"Sep 2, 2019",False,19/20,€500k,loan transfer
4,166677,21550,2687,"Jul 1, 2017",False,17/18,€600k,€500k
5,166677,2687,21550,"Jun 30, 2017",False,16/17,€600k,End of loan
6,166677,21550,2687,"Aug 23, 2016",False,16/17,€300k,loan transfer
7,166677,7078,21550,"Jul 2, 2015",False,15/16,,free transfer
8,166677,208,7078,"Jul 23, 2014",False,14/15,€100k,free transfer
9,166677,10789,208,"Jan 1, 2014",False,13/14,€50k,free transfer
10,166677,2470,10789,"Aug 25, 2013",False,13/14,,free transfer
11,166677,39813,2470,"Jul 1, 2011",False,11/12,,
12,166677,14321,39813,"Jul 1, 2010",False,10/11,,
0,501418,714,368,"Jul 1, 2023",False,23/24,€5.00m,free transfer
1,501418,10773,714,"Jul 1, 2019",False,19/20,€10.00m,
2,501418,9478,10773,"Jul 1, 2017",False,17/18,,
3,501418,58956,9478,"Jul 1, 2015",False,15/16,,
4,501418,65273,58956,"Jul 1, 2014",False,14/15,,?
0,410185,995,419,"Feb 7, 2024",False,23/24,€3.50m,free transfer
1,410185,39,995,"Aug 1, 2023",False,23/24,€3.50m,free transfer
2,410185,714,39,"Jun 30, 2023",False,22/23,€3.50m,End of loan
3,410185,39,714,"Jan 18, 2023",False,22/23,€4.50m,loan transfer
4,410185,667,39,"Jan 17, 2023",False,22/23,€4.50m,End of loan
5,410185,39,667,"Jul 23, 2022",False,22/23,€5.00m,loan transfer
6,410185,3911,39,"Jun 30, 2022",False,21/22,€5.00m,End of loan
7,410185,39,3911,"Jul 15, 2020",False,20/21,€3.60m,loan transfer
8,410185,162,39,"Jul 1, 2019",False,19/20,€4.00m,€5.50m
9,410185,618,162,"Jul 9, 2018",False,18/19,€4.00m,€6.00m
10,410185,8515,618,"Jul 1, 2016",False,16/17,€250k,
11,410185,12745,8515,"Jul 1, 2015",False,15/16,,
0,544106,1531,714,"Sep 7, 2020",False,20/21,€400k,€500k
1,544106,12317,1531,"Jul 1, 2019",False,19/20,,
2,544106,44205,12317,"Jul 1, 2016",False,16/17,,
0,705813,13222,714,"Jan 31, 2024",False,23/24,€700k,End of loan
1,705813,714,13222,"Aug 18, 2023",False,23/24,€700k,loan transfer
2,705813,10773,714,"Jul 1, 2022",False,22/23,€250k,
3,705813,9478,10773,"Jul 1, 2020",False,20/21,,
4,705813,58956,9478,"Jul 1, 2019",False,19/20,,
5,705813,40771,58956,"Jul 1, 2018",False,18/19,,?
0,822331,10773,714,"Jan 1, 2023",False,22/23,€500k,
1,822331,58956,10773,"Jul 1, 2020",False,20/21,,
2,822331,14737,58956,"Jul 1, 2019",False,19/20,,
0,663581,5026,350,"Aug 9, 2023",False,23/24,€6.00m,€12.50m
1,663581,714,5026,"Jun 30, 2023",False,22/23,€6.00m,End of loan
2,663581,5026,714,"Jul 8, 2022",False,22/23,€4.50m,loan transfer
3,663581,354,5026,"Jun 30, 2022",False,21/22,€4.50m,End of loan
4,663581,5026,354,"Jul 1, 2021",False,21/22,€500k,loan transfer
5,663581,614,5026,"Oct 5, 2020",False,20/21,,€2.50m
6,663581,15002,614,"Aug 31, 2019",False,19/20,,
0,142021,714,237,"Aug 11, 2023",False,23/24,€16.00m,€8.00m
1,142021,1041,714,"Jul 1, 2018",False,18/19,€11.00m,€8.00m
2,142021,714,1041,"Jun 30, 2018",False,17/18,€11.00m,End of loan
3,142021,1041,714,"Aug 31, 2017",False,17/18,€11.00m,"Loan fee:<br /><i class=""normaler-text"">€300k</i>"
4,142021,1084,1041,"Aug 29, 2015",False,15/16,€7.50m,€13.10m
5,142021,5649,1084,"Jul 1, 2013",False,13/14,,
6,142021,10773,5649,"Jul 14, 2012",False,12/13,,free transfer
7,142021,9478,10773,"Jul 1, 2011",False,11/12,,
8,142021,14737,9478,"Jul 1, 2010",False,10/11,,
0,506248,1533,714,"Aug 8, 2022",False,22/23,€4.00m,€4.50m
1,506248,897,1533,"Jul 13, 2019",False,19/20,€4.00m,€4.00m
2,506248,11603,897,"Jul 1, 2018",False,18/19,€300k,
3,506248,34466,11603,"Jul 1, 2015",False,15/16,,?
4,506248,17316,34466,"Jul 1, 2014",False,14/15,,?
0,295622,1084,714,"Sep 22, 2020",False,20/21,€1.80m,€2.00m
1,295622,5649,1084,"Jan 1, 2019",False,18/19,€300k,
2,295622,3679,5649,"Aug 31, 2018",False,18/19,€500k,free transfer
3,295622,31506,3679,"Jul 1, 2016",False,16/17,,
4,295622,14734,31506,"Jul 1, 2015",False,15/16,,
5,295622,27060,14734,"Dec 26, 2013",False,13/14,,free transfer
6,295622,45641,27060,"Jul 1, 2013",False,13/14,,?
0,557147,2448,714,"Jan 31, 2023",False,22/23,€3.00m,€2.80m
1,557147,12331,2448,"Aug 1, 2020",False,20/21,€200k,
2,557147,16157,12331,"Jul 1, 2018",False,18/19,,
3,557147,25261,16157,"Jul 1, 2017",False,17/18,,
0,412045,16795,714,"Jun 30, 2023",False,22/23,€1.50m,End of loan
1,412045,714,16795,"Jan 30, 2023",False,22/23,€1.50m,loan transfer
2,412045,12321,714,"Jun 30, 2022",False,21/22,€1.50m,End of loan
3,412045,714,12321,"Aug 30, 2021",False,21/22,€800k,loan transfer
4,412045,10773,714,"Jul 1, 2020",False,20/21,€1.30m,
5,412045,9478,10773,"Jul 1, 2017",False,17/18,,
6,412045,14737,9478,"Jul 1, 2016",False,16/17,,
0,646746,9478,10773,"Jul 1, 2021",False,21/22,,
1,646746,14737,9478,"Jul 1, 2020",False,20/21,,
0,628496,10773,2502,"Jul 19, 2023",False,23/24,€250k,free transfer
1,628496,9478,10773,"Jul 1, 2020",False,20/21,,
2,628496,58956,9478,"Jul 1, 2018",False,18/19,,
3,628496,14737,58956,"Jul 1, 2017",False,17/18,,
0,570421,10773,714,"Aug 1, 2020",False,20/21,€3.00m,
1,570421,9478,10773,"Jul 1, 2019",False,19/20,,
2,570421,58956,9478,"Jul 1, 2018",False,18/19,,
3,570421,14737,58956,"Jul 1, 2017",False,17/18,,
0,165007,940,1050,"Jul 1, 2023",False,23/24,€5.00m,free transfer
1,165007,714,940,"Jun 30, 2023",False,22/23,€5.00m,End of loan
2,165007,940,714,"Jan 31, 2023",False,22/23,€5.00m,"Loan fee:<br /><i class=""normaler-text"">€200k</i>"
3,165007,131,940,"Jul 1, 2019",False,19/20,€12.00m,€12.90m
4,165007,11,131,"Jun 30, 2019",False,18/19,€12.00m,End of loan
5,165007,131,11,"Jan 31, 2019",False,18/19,€12.00m,"Loan fee:<br /><i class=""normaler-text"">€2.50m</i>"
6,165007,1050,131,"Jul 4, 2016",False,16/17,€12.00m,€3.25m
7,165007,131,1050,"Aug 29, 2015",False,15/16,€12.00m,€4.00m
8,165007,368,131,"Aug 28, 2015",False,15/16,€12.00m,End of loan
9,165007,131,368,"Jul 2, 2014",False,14/15,€3.50m,loan transfer
10,165007,2464,131,"Jul 1, 2014",False,14/15,€3.50m,
11,165007,9265,2464,"Aug 22, 2013",False,13/14,€1.00m,€1.50m
12,165007,6930,9265,"Jul 1, 2012",False,12/13,,
13,165007,15509,6930,"Jul 1, 2011",False,11/12,,€1.00m
14,165007,40419,15509,"Jul 1, 2010",False,10/11,,
0,408471,142,714,"Aug 17, 2020",False,19/20,€900k,End of loan
1,408471,714,142,"Nov 16, 2019",False,19/20,€1.00m,loan transfer
2,408471,10773,714,"Jul 1, 2018",False,18/19,,
3,408471,9478,10773,"Jul 1, 2017",False,17/18,,
4,408471,58956,9478,"Jul 1, 2015",False,15/16,,
5,408471,44771,58956,"Jul 1, 2014",False,14/15,,free transfer
0,282410,3302,714,"Aug 24, 2022",False,22/23,€2.50m,free transfer
1,282410,3709,3302,"Jul 1, 2020",False,20/21,€1.60m,€4.00m
2,282410,3302,3709,"Jun 30, 2020",False,19/20,€1.60m,End of loan
3,282410,3709,3302,"Aug 20, 2019",False,19/20,€1.00m,"Loan fee:<br /><i class=""normaler-text"">€250k</i>"
4,282410,11000,3709,"Jun 30, 2019",False,18/19,€1.00m,End of loan
5,282410,3709,11000,"Aug 6, 2018",False,18/19,€200k,loan transfer
6,282410,6767,3709,"Jul 12, 2018",False,18/19,€200k,free transfer
7,282410,2867,6767,"Jun 30, 2018",False,17/18,€200k,End of loan
8,282410,6767,2867,"Jul 27, 2017",False,17/18,€150k,loan transfer
9,282410,11972,6767,"Jun 30, 2017",False,16/17,€150k,End of loan
10,282410,6767,11972,"Aug 31, 2016",False,16/17,€200k,loan transfer
11,282410,28870,6767,"Jul 1, 2015",False,15/16,,
12,282410,39822,28870,"Jul 1, 2014",False,14/15,,
13,282410,13711,39822,"Jul 1, 2013",False,13/14,,
0,745461,10773,1132,"Jul 25, 2023",False,23/24,€1.00m,€3.00m
1,745461,9478,10773,"Jul 1, 2022",False,22/23,,
2,745461,58956,9478,"Jul 1, 2021",False,21/22,,
3,745461,70302,58956,"Jul 1, 2020",False,20/21,,free transfer
0,628499,6767,10773,"Aug 1, 2022",False,22/23,€100k,free transfer
1,628499,50260,6767,"Jun 30, 2022",False,21/22,€100k,End of loan
2,628499,6767,50260,"Aug 4, 2021",False,21/22,€100k,loan transfer
3,628499,9478,6767,"Aug 8, 2020",False,20/21,,free transfer
4,628499,58956,9478,"Jul 1, 2018",False,18/19,,
5,628499,14737,58956,"Jul 1, 2017",False,17/18,,
6,628499,70302,14737,"Jul 1, 2016",False,16/17,,?
0,65263,131,366,"Jul 17, 2017",False,17/18,€1.00m,free transfer
1,65263,2464,131,"Jul 1, 2014",False,14/15,€1.50m,
2,65263,20808,2464,"Jun 30, 2009",False,08/09,,End of loan
3,65263,2464,20808,"Aug 1, 2008",False,08/09,,loan transfer
4,65263,2470,2464,"Jul 1, 2008",False,08/09,,
5,65263,39813,2470,"Jul 1, 2007",False,07/08,,
